name,d,VV,VH
cn_zhangbei_r02,2019-08-14,-11.798884099021993,-18.6079855301597
cn_zhangbei_r03,2019-08-26,-12.909662775396392,-20.87039917367149
cn_zhangbei_r05,2019-08-26,-12.893209754121294,-20.158617726631096
cn_zhangbei_r01,2019-08-26,-11.113159558723222,-19.852799241825842
cn_zhangbei_r06,2019-08-26,-8.160160353887981,-16.9819652100842
cn_zhangbei_r07,2019-08-26,-10.175413406399613,-17.554863030151726
cn_zhangbei_r02,2019-08-26,-11.663664393703282,-18.96820131521593
cn_zhangbei_r03,2019-09-07,-12.993738708421757,-21.928963824376336
cn_zhangbei_r05,2019-09-07,-13.364727378993217,-21.409500323743043
cn_zhangbei_r01,2019-09-07,-11.725200003466535,-20.722308738938633
cn_zhangbei_r06,2019-09-07,-7.76784805590325,-15.941072366633053
cn_zhangbei_r07,2019-09-07,-10.087687528341629,-18.15462008785979
cn_zhangbei_r02,2019-09-07,-12.0643908071222,-19.45949714819212
cn_zhangbei_r03,2019-09-19,-12.857691593769971,-22.131105721197464
cn_zhangbei_r05,2019-09-19,-10.908299766444003,-20.25090418069279
cn_zhangbei_r01,2019-09-19,-10.888535618422672,-20.88530393945778
cn_zhangbei_r06,2019-09-19,-8.181053146245073,-17.593129272618157
cn_zhangbei_r07,2019-09-19,-10.328563196470572,-18.735707963068986
cn_zhangbei_r02,2019-09-19,-11.617631375778494,-19.116832328190956
cn_zhangbei_r03,2019-10-01,-13.088126106608597,-28.819423125159727
cn_zhangbei_r05,2019-10-01,-13.360619918125973,-30.701326637486872
cn_zhangbei_r01,2019-10-01,-11.760204431770191,-26.822892584135648
cn_zhangbei_r06,2019-10-01,-8.509877650085937,-18.30288732666724
cn_zhangbei_r07,2019-10-01,-10.345359308305776,-22.293183581329327
cn_zhangbei_r02,2019-10-01,-12.95422579416213,-24.373786992709032
cn_zhangbei_r03,2019-10-13,-14.03013710887007,-26.249713337936196
cn_zhangbei_r05,2019-10-13,-14.065448367195499,-27.592453195236306
cn_zhangbei_r01,2019-10-13,-12.757384602159288,-24.152621695033226
cn_zhangbei_r06,2019-10-13,-8.978830129208884,-18.163589763240385
cn_zhangbei_r07,2019-10-13,-10.951671446360683,-21.357277571727156
cn_zhangbei_r02,2019-10-13,-13.783309744078855,-22.298530247828047
cn_zhangbei_r03,2019-10-25,-13.211041244558352,-24.253857115497873
cn_zhangbei_r05,2019-10-25,-13.736659965842833,-28.582113310384102
cn_zhangbei_r01,2019-10-25,-12.462723562008552,-23.61678033660932
cn_zhangbei_r06,2019-10-25,-9.138212374583466,-19.03534900365049
cn_zhangbei_r07,2019-10-25,-11.249408416792281,-21.77962089642757
cn_zhangbei_r02,2019-10-25,-13.054216595760227,-23.156632675003205
cn_zhangbei_r03,2019-11-06,-13.961205164299233,-26.16300357755325
cn_zhangbei_r05,2019-11-06,-13.621717918257824,-29.324639010623198
cn_zhangbei_r01,2019-11-06,-12.468220006012995,-24.23552789297464
cn_zhangbei_r06,2019-11-06,-9.107690678581402,-18.64162906080931
cn_zhangbei_r07,2019-11-06,-11.401752327517068,-22.428500918887497
cn_zhangbei_r02,2019-11-06,-13.736240329356843,-23.67372629544384
cn_zhangbei_r03,2019-11-18,-11.146631623058635,-17.69563956829939
cn_zhangbei_r05,2019-11-18,-14.904831910134922,-30.483189916599255
cn_zhangbei_r01,2019-11-18,-12.288675929430234,-20.325750004385625
cn_zhangbei_r06,2019-11-18,-8.269167150099092,-12.662793716523735
cn_zhangbei_r07,2019-11-18,-9.186780975754123,-19.069162818045143
cn_zhangbei_r02,2019-11-18,-14.207481218087679,-20.43249748330738
cn_zhangbei_r03,2019-11-30,-14.627158691716557,-30.409866330064105
cn_zhangbei_r05,2019-11-30,-14.857427209584083,-34.23221775890911
cn_zhangbei_r01,2019-11-30,-13.04443717813881,-26.533475900094565
cn_zhangbei_r06,2019-11-30,-8.900273440463492,-18.76705309516995
cn_zhangbei_r07,2019-11-30,-11.268329249580756,-22.35614547222259
cn_zhangbei_r02,2019-11-30,-14.342945093797073,-26.226610180491395
