site_id,product_id,datetime_utc,ptype,reason,polygon,n_valid_poly,n_total_poly,n_valid_bg,n_total_bg
nsa_utah,LC08_L1TP_038032_20150106_20170302_01_T1,2015-01-06T18:08:15.125362+00:00,hall,polygon_too_cloudy,technical_strip,17.0,114.0,10008.0,14574.0
nsa_utah,LC08_L1TP_038032_20150106_20170302_01_T1,2015-01-06T18:08:15.125362+00:00,substation,polygon_too_cloudy,substation_east,4.0,15.0,10008.0,14574.0
nsa_utah,LC08_L1TP_038032_20150514_20170228_01_T1,2015-05-14T18:07:11.958415+00:00,all,background_too_cloudy,,,,0.0,14574.0
nsa_utah,LC08_L1TP_038032_20150530_20180131_01_T1,2015-05-30T18:07:17.663747+00:00,all,background_too_cloudy,,,,0.0,14574.0
nsa_utah,LC08_L1TP_038032_20150717_20170226_01_T1,2015-07-17T18:07:45.865533+00:00,hall,polygon_too_cloudy,technical_strip,24.0,114.0,8943.0,14574.0
nsa_utah,LC08_L1TP_038032_20150717_20170226_01_T1,2015-07-17T18:07:45.865533+00:00,substation,polygon_too_cloudy,substation_east,0.0,15.0,8943.0,14574.0
nsa_utah,LC08_L1TP_038032_20150802_20170226_01_T1,2015-08-02T18:07:49.315862+00:00,all,background_too_cloudy,,,,332.0,14574.0
nsa_utah,LC08_L1TP_038032_20150903_20170225_01_T1,2015-09-03T18:08:00.956604+00:00,all,background_too_cloudy,,,,231.0,14574.0
nsa_utah,LC08_L1TP_038032_20151005_20170225_01_T1,2015-10-05T18:08:13.204493+00:00,hall,polygon_too_cloudy,technical_strip,13.0,114.0,12452.0,14574.0
nsa_utah,LC08_L1TP_038032_20151005_20170225_01_T1,2015-10-05T18:08:13.204493+00:00,substation,polygon_too_cloudy,substation_east,1.0,15.0,12452.0,14574.0
nsa_utah,LC08_L1TP_038032_20151021_20170225_01_T1,2015-10-21T18:08:15.710156+00:00,hall,polygon_too_cloudy,technical_strip,0.0,114.0,7365.0,14574.0
nsa_utah,LC08_L1TP_038032_20151021_20170225_01_T1,2015-10-21T18:08:15.710156+00:00,substation,polygon_too_cloudy,substation_east,0.0,15.0,7365.0,14574.0
nsa_utah,LC08_L1TP_038032_20151122_20170225_01_T1,2015-11-22T18:08:20.982881+00:00,hall,polygon_too_cloudy,technical_strip,58.0,114.0,14565.0,14574.0
nsa_utah,LC08_L1TP_038032_20151224_20170224_01_T1,2015-12-24T18:08:20.340372+00:00,hall,polygon_too_cloudy,technical_strip,0.0,114.0,5765.0,14574.0
nsa_utah,LC08_L1TP_038032_20151224_20170224_01_T1,2015-12-24T18:08:20.340372+00:00,substation,polygon_too_cloudy,substation_east,0.0,15.0,5765.0,14574.0
nsa_utah,LC08_L1TP_038032_20160109_20170224_01_T1,2016-01-09T18:08:16.090044+00:00,all,background_too_cloudy,,,,659.0,14574.0
nsa_utah,LC08_L1TP_038032_20160125_20180131_01_T1,2016-01-25T18:08:16.725468+00:00,hall,polygon_too_cloudy,technical_strip,61.0,114.0,10239.0,14574.0
nsa_utah,LC08_L1TP_038032_20160430_20170223_01_T1,2016-04-30T18:07:48.257164+00:00,all,background_too_cloudy,,,,155.0,14574.0
nsa_utah,LC08_L1TP_038032_20160516_20170223_01_T1,2016-05-16T18:07:45.872255+00:00,all,background_too_cloudy,,,,0.0,14574.0
nsa_utah,LC08_L1TP_038032_20170228_20170316_01_T1,2017-02-28T18:08:03.613813+00:00,all,background_too_cloudy,,,,0.0,14574.0
nsa_utah,LC08_L1TP_038032_20170316_20170328_01_T1,2017-03-16T18:07:54.494845+00:00,all,background_too_cloudy,,,,166.0,14574.0
